,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
570,42,no,600,[0.4 0.4 0.2],49,5,0.1,9.4,0.5405952865775561,9.4
571,43,no,600,[0.4 0.5 0.1],49,5,0.1,9.4,0.539801635783905,9.4
572,44,no,600,[0.4 0.6 0. ],49,5,0.1,9.366666666666667,0.5417857627680323,9.366666666666667
573,45,no,600,[0.5 0.  0.5],49,5,0.1,9.4,0.5500608724320307,9.4
574,46,no,600,[0.5 0.1 0.4],49,5,0.1,9.4,0.5447105129150046,9.4
575,47,no,600,[0.5 0.2 0.3],49,5,0.1,9.4,0.5407422589467507,9.4
576,48,no,600,[0.5 0.3 0.2],49,5,0.1,9.4,0.5392725352548046,9.4
577,49,no,600,[0.5 0.4 0.1],49,5,0.1,9.4,0.5392725352548046,9.4
578,50,no,600,[0.5 0.5 0. ],49,5,0.1,9.366666666666667,0.5444312654135348,9.366666666666667
579,51,no,600,[0.6 0.  0.4],49,5,0.1,9.4,0.5421243644955228,9.4
580,52,no,600,[0.6 0.1 0.3],49,5,0.1,9.4,0.538096756301248,9.4
581,53,no,600,[0.6 0.2 0.2],49,5,0.1,9.4,0.5371561331384026,9.4
582,54,no,600,[0.6 0.3 0.1],49,5,0.1,9.4,0.5392725352548046,9.4
583,55,no,600,[0.6 0.4 0. ],49,5,0.1,9.4,0.5352561812384506,9.4
584,56,no,600,[0.7 0.  0.3],49,5,0.1,9.4,0.5394195076239992,9.4
585,57,no,600,[0.7 0.1 0.2],49,5,0.1,9.4,0.5373031055075972,9.4
586,58,no,600,[0.7 0.2 0.1],49,5,0.1,9.4,0.5371561331384026,9.4
587,59,no,600,[0.7 0.3 0. ],49,5,0.1,9.4,0.5365789325612021,9.4
588,60,no,600,[0.8 0.  0.2],49,5,0.1,9.4,0.5337978145023062,9.4
589,61,no,600,[0.8 0.1 0.1],49,5,0.1,9.4,0.5346095028139944,9.4
590,62,no,600,[ 0.8  0.2 -0. ],49,5,0.1,9.4,0.5344625304447999,9.4
591,63,no,600,[0.9 0.  0.1],49,5,0.1,9.4,0.5297814604859522,9.4
592,64,no,600,[ 0.9  0.1 -0. ],49,5,0.1,9.4,0.5296344881167576,9.4
593,65,no,600,[1. 0. 0.],49,5,0.1,9.4,0.5297814604859522,9.4
594,0,yes,400,[0. 0. 1.],49,7,0.266666667,14.11666667,0.478303623,14.11666667
595,1,yes,400,[0.  0.1 0.9],49,7,0.266666667,14.11666667,0.46997029,14.11666667
596,2,yes,400,[0.  0.2 0.8],49,7,0.266666667,14.11666667,0.469136956,14.11666667
597,3,yes,400,[0.  0.3 0.7],49,7,0.266666667,13.91666667,0.468571791,13.91666667
598,4,yes,400,[0.  0.4 0.6],49,7,0.266666667,13.9,0.457086693,13.9
599,5,yes,400,[0.  0.5 0.5],49,7,0.266666667,13.9,0.458452813,13.9
600,6,yes,400,[0.  0.6 0.4],49,7,0.266666667,13.9,0.457039585,13.9
601,7,yes,400,[0.  0.7 0.3],49,7,0.266666667,13.9,0.457039585,13.9
602,8,yes,400,[0.  0.8 0.2],49,7,0.266666667,13.9,0.448842864,13.9
603,9,yes,400,[0.  0.9 0.1],49,7,0.266666667,13.65,0.449936796,13.65
604,10,yes,400,[0. 1. 0.],49,7,0.3,13.98333333,0.449880303,13.98333333
605,11,yes,400,[0.1 0.  0.9],49,7,0.266666667,14.11666667,0.478303623,14.11666667
606,12,yes,400,[0.1 0.1 0.8],49,7,0.266666667,14.11666667,0.478303623,14.11666667
607,13,yes,400,[0.1 0.2 0.7],49,7,0.266666667,14.11666667,0.476081401,14.11666667
608,14,yes,400,[0.1 0.3 0.6],49,7,0.266666667,13.91666667,0.465794014,13.91666667
609,15,yes,400,[0.1 0.4 0.5],49,7,0.266666667,13.9,0.458452813,13.9
610,16,yes,400,[0.1 0.5 0.4],49,7,0.266666667,13.9,0.459818933,13.9
611,17,yes,400,[0.1 0.6 0.3],49,7,0.266666667,13.9,0.457039585,13.9
612,18,yes,400,[0.1 0.7 0.2],49,7,0.266666667,13.9,0.448842864,13.9
613,19,yes,400,[0.1 0.8 0.1],49,7,0.3,13.98333333,0.449896638,13.98333333
614,20,yes,400,[0.1 0.9 0. ],49,7,0.3,13.98333333,0.448517181,13.98333333
615,21,yes,400,[0.2 0.  0.8],49,7,0.266666667,13.86666667,0.472463316,13.86666667
616,22,yes,400,[0.2 0.1 0.7],49,7,0.266666667,13.86666667,0.472463316,13.86666667
617,23,yes,400,[0.2 0.2 0.6],49,7,0.266666667,13.66666667,0.471916868,13.66666667
618,24,yes,400,[0.2 0.3 0.5],49,7,0.266666667,13.91666667,0.466627347,13.91666667
619,25,yes,400,[0.2 0.4 0.4],49,7,0.266666667,13.91666667,0.466576143,13.91666667
620,26,yes,400,[0.2 0.5 0.3],49,7,0.266666667,13.9,0.459818933,13.9
621,27,yes,400,[0.2 0.6 0.2],49,7,0.266666667,13.9,0.457039585,13.9
